Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
ROBERTA-LARGE,0.450433464,Correct,608.2149475,304.5000361,3.649979544,600,296.7659294,4.702600784,0,608.2207392,304.5116446,92,2,1,1,4,2,2,1
BERT-BASE,0.450649097,Correct,996.0066434,300.0823449,3.650769428,1000,296.6494876,4.703894582,0,996.0152449,300.1087042,117,2,1,1,4,2,2,1
BERT-LARGE,0.450649097,Correct,794.1530352,313.8772734,3.650769428,800,296.6494876,4.703894582,0,794.1864988,313.8969487,117,2,1,1,4,2,2,1
GLOVE-CNN,0.450649097,Correct,168.5290064,307.9039533,3.650769428,200,296.6494876,4.703894582,0,168.5162458,307.9380715,117,2,1,1,4,2,2,1
GLOVE-LSTM,0.450649097,Correct,356.1511512,299.8895576,3.650769428,400,296.6494876,4.703894582,0,356.2783714,299.8633252,117,2,1,1,4,2,2,1
ROBERTA-LARGE,0.450649097,Correct,626.0081072,306.2517136,3.650769428,600,296.6494876,4.703894582,0,626.0285381,306.2578572,117,2,1,1,4,2,2,1
BERT-BASE,0.452416826,Correct,959.376533,291.4797004,3.657244783,1000,295.694914,4.714500956,0,959.3796489,291.4864742,91,2,1,1,4,2,2,1
BERT-LARGE,0.452416826,Correct,774.9618003,307.5499067,3.657244783,800,295.694914,4.714500956,0,774.962335,307.5552383,91,2,1,1,4,2,2,1
GLOVE-CNN,0.452416826,Correct,184.3531282,299.5838963,3.657244783,200,295.694914,4.714500956,0,184.3137614,299.6088781,91,2,1,1,4,2,2,1
GLOVE-LSTM,0.452416826,Incorrect,319.6296896,295.7333494,3.657244783,400,295.694914,4.714500956,0,319.6879105,295.7175919,91,2,1,1,4,2,2,1
ROBERTA-LARGE,0.452416826,Correct,581.4125441,308.0255347,3.657244783,600,295.694914,4.714500956,0,581.4108977,308.0157269,91,2,1,1,4,2,2,1
BERT-BASE,0.453492231,Correct,1040.158298,305.0870568,3.661184091,1000,295.1141953,4.720953386,0,1040.138765,305.0807562,37,2,1,1,4,2,2,1
BERT-LARGE,0.453492231,Correct,765.0425086,304.7535339,3.661184091,800,295.1141953,4.720953386,0,765.0565569,304.7330265,37,2,1,1,4,2,2,1
GLOVE-CNN,0.453492231,Correct,178.8334511,308.2974054,3.661184091,200,295.1141953,4.720953386,0,178.8068591,308.3248648,37,2,1,1,4,2,2,1
GLOVE-LSTM,0.453492231,Correct,436.2990951,291.5765631,3.661184091,400,295.1141953,4.720953386,0,436.406069,291.7111866,37,2,1,1,4,2,2,1
ROBERTA-LARGE,0.453492231,Correct,563.0429721,307.0146211,3.661184091,600,295.1141953,4.720953386,0,563.066047,306.9962632,37,2,1,1,4,2,2,1
BERT-BASE,0.454668399,Correct,992.2372446,289.8131176,3.665492504,1000,294.4790645,4.728010394,0,992.1405615,289.8160162,75,2,1,1,4,2,2,1
BERT-LARGE,0.454668399,Correct,772.4397528,297.5627268,3.665492504,800,294.4790645,4.728010394,0,772.4512753,297.5724451,75,2,1,1,4,2,2,1
GLOVE-CNN,0.454668399,Correct,240.5031578,265.712481,3.665492504,200,294.4790645,4.728010394,0,240.5153611,265.6687877,75,2,1,1,4,2,2,1
GLOVE-LSTM,0.454668399,Correct,401.9210956,304.1595054,3.665492504,400,294.4790645,4.728010394,0,401.9459422,304.1270933,75,2,1,1,4,2,2,1
ROBERTA-LARGE,0.454668399,Correct,653.4644742,304.2057601,3.665492504,600,294.4790645,4.728010394,0,653.4138181,304.2394732,75,2,1,1,4,2,2,1
BERT-BASE,0.455765247,Incorrect,1044.649534,295.8053422,3.669510359,1000,293.8867666,4.734591482,0,1044.646495,295.8083256,59,2,1,1,4,2,2,1
BERT-LARGE,0.455765247,Correct,755.1212675,302.013226,3.669510359,800,293.8867666,4.734591482,0,755.1841855,301.9961571,59,2,1,1,4,2,2,1
GLOVE-CNN,0.455765247,Correct,137.1245874,307.0091979,3.669510359,200,293.8867666,4.734591482,0,137.1249091,307.0591359,59,2,2,1,4,2,2,1
GLOVE-LSTM,0.455765247,Incorrect,462.5973725,302.0347183,3.669510359,400,293.8867666,4.734591482,0,462.4616382,301.9576363,59,2,2,1,4,2,2,1
ROBERTA-LARGE,0.455765247,Correct,574.5615875,268.8886008,3.669510359,600,293.8867666,4.734591482,0,574.547396,268.9641287,59,2,1,1,4,2,2,1
BERT-BASE,0.458942963,Incorrect,935.0743752,302.7427421,3.681150628,1000,292.1708,4.753657778,0,935.0718308,302.7407534,71,2,2,1,4,2,2,1
BERT-LARGE,0.458942963,Correct,809.367591,300.5359659,3.681150628,800,292.1708,4.753657778,0,809.3908325,300.6103647,71,2,2,1,4,2,2,1
GLOVE-CNN,0.458942963,Incorrect,174.0059161,299.1387298,3.681150628,200,292.1708,4.753657778,0,173.9931261,299.1636204,71,2,2,1,4,2,2,1
GLOVE-LSTM,0.458942963,Incorrect,435.0228494,302.4174268,3.681150628,400,292.1708,4.753657778,0,435.108391,302.3505777,71,2,2,1,4,2,2,1
ROBERTA-LARGE,0.458942963,Correct,590.3833685,302.9096348,3.681150628,600,292.1708,4.753657778,0,590.3594311,302.9281042,71,2,2,1,4,2,2,1
BERT-BASE,0.459885799,Correct,1029.955237,303.4410058,3.684604324,1000,291.6616685,4.759314794,0,1029.936491,303.4579655,65,2,2,1,4,2,2,1
BERT-LARGE,0.459885799,Incorrect,782.6741413,300.659795,3.684604324,800,291.6616685,4.759314794,0,782.6871732,300.680746,65,2,2,1,4,2,2,1
GLOVE-CNN,0.459885799,Correct,245.2649048,275.1468367,3.684604324,200,291.6616685,4.759314794,0,245.3228782,275.1456717,65,2,2,1,4,2,2,1
GLOVE-LSTM,0.459885799,Correct,443.0027727,309.3210806,3.684604324,400,291.6616685,4.759314794,0,442.9567127,309.2785523,65,2,2,1,4,2,2,1
ROBERTA-LARGE,0.459885799,Correct,603.8316945,256.7239643,3.684604324,600,291.6616685,4.759314794,0,603.8198069,256.7192217,65,2,2,1,4,2,2,1
BERT-BASE,0.460647575,Correct,1053.309652,301.4676887,3.68739478,1000,291.2503095,4.76388545,0,1053.298522,301.4558301,110,2,2,1,4,2,2,1
BERT-LARGE,0.460647575,Correct,793.5800382,265.9151147,3.68739478,800,291.2503095,4.76388545,0,793.5507528,265.9428853,110,2,2,1,4,2,2,1
GLOVE-CNN,0.460647575,Correct,273.4467355,296.9591941,3.68739478,200,291.2503095,4.76388545,0,272.9787616,296.91866,110,2,2,1,4,2,2,1
GLOVE-LSTM,0.460647575,Correct,335.4066102,282.0565511,3.68739478,400,291.2503095,4.76388545,0,335.4511117,282.0787139,110,2,2,1,4,2,2,1
ROBERTA-LARGE,0.460647575,Correct,538.910412,306.8620752,3.68739478,600,291.2503095,4.76388545,0,538.8814727,306.8719834,110,2,2,1,4,2,2,1
BERT-BASE,0.462120359,Correct,964.8920495,300.2483287,3.692789724,1000,290.4550061,4.772722154,0,964.892274,300.2475898,26,2,2,1,4,2,2,1
BERT-LARGE,0.462120359,Correct,752.4980108,291.7152557,3.692789724,800,290.4550061,4.772722154,0,752.5497498,291.6740159,26,2,2,1,4,2,2,1
GLOVE-CNN,0.462120359,Correct,283.8057649,297.6215679,3.692789724,200,290.4550061,4.772722154,0,283.3530085,297.577569,26,2,2,1,4,2,2,1
GLOVE-LSTM,0.462120359,Incorrect,329.3395154,299.3112816,3.692789724,400,290.4550061,4.772722154,0,329.3795857,299.3075802,26,2,2,1,4,2,2,1
ROBERTA-LARGE,0.462120359,Correct,669.1225953,286.754536,3.692789724,600,290.4550061,4.772722154,0,669.1515588,286.7447175,26,2,2,1,4,2,2,1
BERT-BASE,0.464185705,Incorrect,1062.483364,296.5944602,3.700355278,1000,289.3397193,4.78511423,0,1062.475585,296.5974564,88,2,2,1,4,2,2,1
BERT-LARGE,0.464185705,Correct,855.2981715,296.4203898,3.700355278,800,289.3397193,4.78511423,0,855.2824923,296.4438332,88,3,2,1,4,2,2,1
GLOVE-CNN,0.464185705,Correct,194.7039987,300.3357525,3.700355278,200,289.3397193,4.78511423,0,194.6614811,300.4126132,88,3,2,1,4,2,2,1
GLOVE-LSTM,0.464185705,Incorrect,427.8817747,285.4501997,3.700355278,400,289.3397193,4.78511423,0,427.7112709,285.4711343,88,3,2,1,4,2,2,1
ROBERTA-LARGE,0.464185705,Correct,525.9835192,301.8138251,3.700355278,600,289.3397193,4.78511423,0,525.99498,301.8077094,88,3,2,1,4,2,2,1
BERT-BASE,0.465216837,Correct,995.637025,310.4306478,3.70413241,1000,288.782908,4.791301022,0,995.613996,310.4620695,28,3,2,1,4,2,2,1
BERT-LARGE,0.465216837,Correct,836.0527916,290.2844672,3.70413241,800,288.782908,4.791301022,0,836.0251852,290.3338783,28,3,2,1,4,2,2,1
GLOVE-CNN,0.465216837,Correct,206.6666288,282.7283262,3.70413241,200,288.782908,4.791301022,0,206.6312969,282.7701433,28,3,2,1,4,2,2,1
GLOVE-LSTM,0.465216837,Correct,452.7794795,305.8001486,3.70413241,400,288.782908,4.791301022,0,452.740234,305.826382,28,3,2,1,4,2,2,1
ROBERTA-LARGE,0.465216837,Correct,557.8220988,298.0639179,3.70413241,600,288.782908,4.791301022,0,557.7744576,298.0852259,28,3,2,1,4,2,2,1
BERT-BASE,0.46835886,Correct,1022.936862,295.7771266,3.715641932,1000,287.0862156,4.81015316,0,1022.930372,295.77577,100,3,2,1,4,2,2,1
BERT-LARGE,0.46835886,Correct,874.5358855,291.8286875,3.715641932,800,287.0862156,4.81015316,0,874.5253049,291.8365507,100,3,2,1,4,2,2,1
GLOVE-CNN,0.46835886,Correct,263.5802717,295.9835729,3.715641932,200,287.0862156,4.81015316,0,263.6814876,295.9495454,100,3,2,1,4,2,2,1
GLOVE-LSTM,0.46835886,Correct,426.6633392,308.3901237,3.715641932,400,287.0862156,4.81015316,0,426.8015551,308.3575531,100,3,2,1,4,2,2,1
ROBERTA-LARGE,0.46835886,Correct,564.8177378,273.4623899,3.715641932,600,287.0862156,4.81015316,0,564.814893,273.4178552,100,3,2,1,4,2,2,1
BERT-BASE,0.470315843,Incorrect,938.5214689,292.9264315,3.722810542,1000,286.0294448,4.821895058,0,938.5326491,292.930426,148,3,2,1,4,2,2,1
BERT-LARGE,0.470315843,Correct,759.9809505,284.4853449,3.722810542,800,286.0294448,4.821895058,0,759.9841334,284.4669452,148,3,2,1,4,2,2,1
GLOVE-CNN,0.470315843,Incorrect,262.1107339,267.1731366,3.722810542,200,286.0294448,4.821895058,0,262.1150601,267.1804858,148,3,2,1,4,2,2,1
GLOVE-LSTM,0.470315843,Correct,410.9332767,309.3872933,3.722810542,400,286.0294448,4.821895058,0,410.9473248,309.430237,148,3,2,1,4,2,2,1
ROBERTA-LARGE,0.470315843,Incorrect,668.170795,297.1281447,3.722810542,600,286.0294448,4.821895058,0,668.1315918,297.1106827,148,3,2,1,4,2,2,1
BERT-BASE,0.471826878,Incorrect,953.5628623,282.6082325,3.728345603,1000,285.2134859,4.830961268,0,953.5500278,282.6001768,96,3,2,1,4,2,2,1
BERT-LARGE,0.471826878,Incorrect,765.4041936,266.9047554,3.728345603,800,285.2134859,4.830961268,0,765.3495803,266.8659366,96,3,2,1,4,2,2,1
GLOVE-CNN,0.471826878,Incorrect,126.9244998,288.7093047,3.728345603,200,285.2134859,4.830961268,0,126.9278898,288.7362903,96,3,2,1,4,2,2,1
GLOVE-LSTM,0.471826878,Incorrect,409.9953014,296.2664038,3.728345603,400,285.2134859,4.830961268,0,409.8704163,296.221472,96,3,2,1,4,2,2,1
ROBERTA-LARGE,0.471826878,Incorrect,554.2386951,288.2729072,3.728345603,600,285.2134859,4.830961268,0,554.2613309,288.2917123,96,3,2,1,4,2,2,1
BERT-BASE,0.472388378,Correct,1071.595275,291.5367555,3.73040243,1000,284.9102759,4.834330268,0,1071.568541,291.5405076,32,3,2,1,4,2,2,1
BERT-LARGE,0.472388378,Correct,788.1034999,283.1328261,3.73040243,800,284.9102759,4.834330268,0,788.0888687,283.1243153,32,3,2,1,4,2,2,1
GLOVE-CNN,0.472388378,Correct,243.1101567,294.5504838,3.73040243,200,284.9102759,4.834330268,0,242.897727,294.2847952,32,3,2,1,4,2,2,1
GLOVE-LSTM,0.472388378,Correct,460.0831523,286.6457314,3.73040243,400,284.9102759,4.834330268,0,460.2921779,286.8695124,32,3,2,1,4,2,2,1
ROBERTA-LARGE,0.472388378,Correct,573.3812168,279.6970757,3.73040243,600,284.9102759,4.834330268,0,573.3219545,279.6115733,32,3,2,1,4,2,2,1
BERT-BASE,0.472865053,Correct,973.8826078,263.5082357,3.732148534,1000,284.6528714,4.837190318,0,973.8710087,263.5065635,68,3,2,1,4,2,2,1
BERT-LARGE,0.472865053,Correct,808.3669902,289.8511595,3.732148534,800,284.6528714,4.837190318,0,808.334283,289.8893902,68,3,2,1,4,2,2,1
GLOVE-CNN,0.472865053,Correct,219.8344593,245.6961972,3.732148534,200,284.6528714,4.837190318,0,219.8666109,245.6829818,68,3,2,1,4,2,2,1
GLOVE-LSTM,0.472865053,Correct,337.5276717,292.8635523,3.732148534,400,284.6528714,4.837190318,0,337.5412679,292.8487697,68,3,2,1,4,2,2,1
ROBERTA-LARGE,0.472865053,Correct,664.421415,258.2843068,3.732148534,600,284.6528714,4.837190318,0,664.4097103,258.2858971,68,3,2,1,4,2,2,1
BERT-BASE,0.47322162,Correct,1007.109144,279.3382593,3.733454672,1000,284.4603252,4.83932972,0,1007.202881,279.3185766,78,3,2,1,4,2,2,1
BERT-LARGE,0.47322162,Correct,729.1985245,275.7150077,3.733454672,800,284.4603252,4.83932972,0,729.1943509,275.6996987,78,3,2,1,4,2,2,1
GLOVE-CNN,0.47322162,Correct,202.5419687,254.2256659,3.733454672,200,284.4603252,4.83932972,0,202.4985672,254.2109397,78,3,2,1,4,2,2,1
GLOVE-LSTM,0.47322162,Correct,358.9132513,251.4853676,3.733454672,400,284.4603252,4.83932972,0,358.8992173,251.5131898,78,3,2,1,4,2,2,1
ROBERTA-LARGE,0.47322162,Correct,535.8924474,286.6406365,3.733454672,600,284.4603252,4.83932972,0,535.9065762,286.6412384,78,3,2,1,4,2,2,1
BERT-BASE,0.473538574,Correct,958.2709622,273.2519315,3.734615704,1000,284.28917,4.841231444,0,958.2328199,273.2455779,35,3,2,1,4,2,2,1
BERT-LARGE,0.473538574,Correct,762.4732306,294.6531379,3.734615704,800,284.28917,4.841231444,0,762.4952875,294.6329058,35,3,2,1,4,2,2,1
GLOVE-CNN,0.473538574,Correct,158.445714,289.6104747,3.734615704,200,284.28917,4.841231444,0,158.4005981,289.6655859,35,3,2,1,4,2,2,1
GLOVE-LSTM,0.473538574,Correct,446.8707262,287.932312,3.734615704,400,284.28917,4.841231444,0,446.8018137,287.949184,35,3,2,1,4,2,2,1
ROBERTA-LARGE,0.473538574,Correct,548.4091165,302.5720402,3.734615704,600,284.28917,4.841231444,0,548.3907262,302.6075288,35,3,2,1,4,2,2,1
BERT-BASE,0.473672521,Correct,1044.710008,285.4009012,3.735106365,1000,284.2168387,4.842035126,0,1044.730177,285.3831542,137,3,2,1,4,2,2,1
BERT-LARGE,0.473672521,Incorrect,744.654409,260.3313972,3.735106365,800,284.2168387,4.842035126,0,744.6833793,260.347255,137,3,2,1,4,2,2,1
GLOVE-CNN,0.473672521,Incorrect,121.8146157,297.8500147,3.735106365,200,284.2168387,4.842035126,0,121.8161033,297.8846023,137,3,2,1,4,2,2,1
GLOVE-LSTM,0.473672521,Incorrect,339.0478963,303.219823,3.735106365,400,284.2168387,4.842035126,0,339.0527487,303.2397552,137,3,2,1,4,2,2,1
ROBERTA-LARGE,0.473672521,Incorrect,535.2527425,297.1024653,3.735106365,600,284.2168387,4.842035126,0,535.2685702,297.0968782,137,3,2,1,4,2,2,1
BERT-BASE,0.473970798,Correct,974.7514165,281.7664572,3.736198981,1000,284.0557691,4.843824788,0,974.721658,281.7670778,3,3,2,1,4,2,2,1
BERT-LARGE,0.473970798,Correct,770.0131641,287.4426358,3.736198981,800,284.0557691,4.843824788,0,770.0253857,287.4925879,3,3,2,1,4,2,2,1
GLOVE-CNN,0.473970798,Correct,236.9601312,302.9823965,3.736198981,200,284.0557691,4.843824788,0,236.9712831,302.9111315,3,3,2,1,4,2,2,1
GLOVE-LSTM,0.473970798,Correct,415.2074066,268.6350134,3.736198981,400,284.0557691,4.843824788,0,415.1047566,268.6083412,3,3,2,1,4,2,2,1
ROBERTA-LARGE,0.473970798,Correct,645.0069799,298.1483489,3.736198981,600,284.0557691,4.843824788,0,645.0169872,298.1409968,3,3,2,1,4,2,2,1
BERT-BASE,0.475857062,Correct,969.7587777,290.916518,3.743108541,1000,283.0371865,4.855142372,0,969.8045404,290.9552921,76,3,2,1,4,2,2,1
BERT-LARGE,0.475857062,Correct,724.7383719,293.3899654,3.743108541,800,283.0371865,4.855142372,0,724.7562816,293.3843244,76,3,2,1,4,2,2,1
GLOVE-CNN,0.475857062,Correct,116.4535567,288.8425402,3.743108541,200,283.0371865,4.855142372,0,116.4645194,288.8633908,76,3,2,1,4,2,2,1
GLOVE-LSTM,0.475857062,Correct,369.9679513,265.9340376,3.743108541,400,283.0371865,4.855142372,0,370.0232361,265.9264063,76,3,2,1,4,2,2,1
ROBERTA-LARGE,0.475857062,Correct,612.2770415,262.6691456,3.743108541,600,283.0371865,4.855142372,0,612.1438437,262.6040493,76,3,2,1,4,2,2,1
BERT-BASE,0.476095869,Correct,969.0407465,272.7837111,3.743983313,1000,282.9082307,4.856575214,0,969.0476745,272.7149493,73,3,2,1,4,2,2,1
BERT-LARGE,0.476095869,Correct,719.0351602,273.121588,3.743983313,800,282.9082307,4.856575214,0,719.0543037,273.1060605,73,3,2,1,4,2,2,1
GLOVE-CNN,0.476095869,Correct,260.3923179,285.6203886,3.743983313,200,282.9082307,4.856575214,0,260.2896373,285.6139321,73,3,2,1,4,2,2,1
GLOVE-LSTM,0.476095869,Correct,444.7248001,298.6937769,3.743983313,400,282.9082307,4.856575214,0,444.4130835,298.6357223,73,3,2,1,4,2,2,1
ROBERTA-LARGE,0.476095869,Correct,601.5673069,277.6006088,3.743983313,600,282.9082307,4.856575214,0,601.5377243,277.5903179,73,3,2,1,4,2,2,1
BERT-BASE,0.476345868,Correct,975.3234705,299.7277969,3.744899082,1000,282.7732313,4.858075208,0,975.3233339,299.7095562,108,3,2,1,4,2,2,1
BERT-LARGE,0.476345868,Correct,714.5807132,290.7494655,3.744899082,800,282.7732313,4.858075208,0,714.6011021,290.7401891,108,3,2,1,4,2,2,1
GLOVE-CNN,0.476345868,Correct,228.2934076,283.9311273,3.744899082,200,282.7732313,4.858075208,0,228.3375181,283.9261278,108,3,2,1,4,2,2,1
GLOVE-LSTM,0.476345868,Correct,371.7157259,276.228424,3.744899082,400,282.7732313,4.858075208,0,371.7135227,276.1189155,108,3,2,1,4,2,2,1
ROBERTA-LARGE,0.476345868,Correct,627.2577024,295.9351573,3.744899082,600,282.7732313,4.858075208,0,627.2495204,295.9347814,108,3,2,1,4,2,2,1
BERT-BASE,0.476625661,Correct,1014.981206,272.4029827,3.74592399,1000,282.6221431,4.859753966,0,1015.008941,272.3559297,132,3,2,1,4,2,2,1
BERT-LARGE,0.476625661,Correct,711.7092363,280.643445,3.74592399,800,282.6221431,4.859753966,0,711.7224192,280.6222126,132,3,2,1,4,2,2,1
GLOVE-CNN,0.476625661,Incorrect,147.9878848,288.9210914,3.74592399,200,282.6221431,4.859753966,0,147.9808709,288.92562,132,3,2,1,4,2,2,1
GLOVE-LSTM,0.476625661,Correct,343.6498317,275.2678727,3.74592399,400,282.6221431,4.859753966,0,343.673529,275.3182946,132,3,2,1,4,2,2,1
ROBERTA-LARGE,0.476625661,Correct,619.8819199,279.3070757,3.74592399,600,282.6221431,4.859753966,0,619.8689642,279.3783554,132,3,2,1,4,2,2,1
BERT-BASE,0.477061527,Incorrect,1016.072858,284.6623909,3.747520608,1000,282.3867754,4.862369162,0,1016.061311,284.6947204,140,3,2,1,4,2,2,1
BERT-LARGE,0.477061527,Incorrect,721.8812441,283.2174732,3.747520608,800,282.3867754,4.862369162,0,721.8941075,283.2021386,140,3,2,1,4,2,2,1
GLOVE-CNN,0.477061527,Incorrect,158.1345547,307.4215331,3.747520608,200,282.3867754,4.862369162,0,158.111561,307.4792107,140,3,2,1,4,2,2,1
GLOVE-LSTM,0.477061527,Incorrect,317.630946,285.5214288,3.747520608,400,282.3867754,4.862369162,0,317.6802534,285.5094663,140,3,2,1,4,2,2,1
ROBERTA-LARGE,0.477061527,Incorrect,572.4859719,302.6799336,3.747520608,600,282.3867754,4.862369162,0,572.5278411,302.7221475,140,3,2,1,4,2,2,1
BERT-BASE,0.480250564,Correct,928.0909994,293.9745547,3.759202346,1000,280.6646954,4.881503384,0,928.1033012,293.9779937,130,3,2,1,4,2,2,1
BERT-LARGE,0.480250564,Correct,726.3501516,265.6093393,3.759202346,800,280.6646954,4.881503384,0,726.3714874,265.5998026,130,3,2,1,4,2,2,1
GLOVE-CNN,0.480250564,Correct,186.1590924,262.7224499,3.759202346,200,280.6646954,4.881503384,0,186.2071038,262.689109,130,3,2,1,4,2,2,1
GLOVE-LSTM,0.480250564,Correct,393.9273086,274.903685,3.759202346,400,280.6646954,4.881503384,0,393.9868135,274.8973789,130,3,2,1,4,2,2,1
ROBERTA-LARGE,0.480250564,Correct,526.5090296,291.351701,3.759202346,600,280.6646954,4.881503384,0,526.5222981,291.3502439,130,3,2,1,4,2,2,1
BERT-BASE,0.481256986,Correct,984.3073396,262.9368484,3.762888963,1000,280.1212276,4.887541916,0,984.3091129,262.8873122,11,3,2,1,4,2,2,1
BERT-LARGE,0.481256986,Correct,749.7081615,281.6233112,3.762888963,800,280.1212276,4.887541916,0,749.7051592,281.6227554,11,3,2,1,4,2,2,1
GLOVE-CNN,0.481256986,Correct,232.4546473,293.5706106,3.762888963,200,280.1212276,4.887541916,0,232.4162946,293.4528302,11,3,2,1,4,2,2,1
GLOVE-LSTM,0.481256986,Correct,364.7461383,293.5033727,3.762888963,400,280.1212276,4.887541916,0,364.856397,293.5147666,11,3,2,1,4,2,2,1
ROBERTA-LARGE,0.481256986,Correct,517.594263,285.597548,3.762888963,600,280.1212276,4.887541916,0,517.584048,285.5981132,11,3,2,1,4,2,2,1
BERT-BASE,0.481361041,Correct,912.4944718,280.6653994,3.763270126,1000,280.0650379,4.888166246,0,912.5060783,280.6666929,131,3,2,1,4,2,2,1
BERT-LARGE,0.481361041,Correct,847.690467,303.5683916,3.763270126,800,280.0650379,4.888166246,0,847.6663758,303.5896538,131,3,2,1,4,2,2,1
GLOVE-CNN,0.481361041,Correct,121.4496947,279.6001056,3.763270126,200,280.0650379,4.888166246,0,121.4276998,279.6043704,131,3,2,1,4,2,2,1
GLOVE-LSTM,0.481361041,Correct,378.3969078,259.7958289,3.763270126,400,280.0650379,4.888166246,0,378.4268768,259.8339239,131,3,2,1,4,2,2,1
ROBERTA-LARGE,0.481361041,Correct,657.9480509,294.7928953,3.763270126,600,280.0650379,4.888166246,0,657.8972911,294.8355467,131,3,2,1,4,2,2,1
BERT-BASE,0.482662337,Correct,926.2260291,275.7927101,3.768036894,1000,279.362338,4.895974022,0,926.2315332,275.797172,90,3,2,1,4,2,2,1
BERT-LARGE,0.482662337,Correct,824.1594774,275.6656932,3.768036894,800,279.362338,4.895974022,0,824.1484012,275.6458332,90,3,2,1,4,2,2,1
GLOVE-CNN,0.482662337,Correct,211.0426298,292.2423656,3.768036894,200,279.362338,4.895974022,0,211.0268646,292.2739367,90,3,2,1,4,2,2,1
GLOVE-LSTM,0.482662337,Correct,383.0759374,293.3759516,3.768036894,400,279.362338,4.895974022,0,383.1287627,293.205496,90,3,2,1,4,2,2,1
ROBERTA-LARGE,0.482662337,Correct,649.4056076,288.6548185,3.768036894,600,279.362338,4.895974022,0,649.3929046,288.6424464,90,3,2,1,4,2,2,1
BERT-BASE,0.483107139,Correct,1082.451739,277.2183214,3.769666245,1000,279.1221449,4.898642834,0,1082.461124,277.2339515,82,3,2,1,4,2,2,1
BERT-LARGE,0.483107139,Correct,864.6132895,288.4399154,3.769666245,800,279.1221449,4.898642834,0,864.6120036,288.4084896,82,3,2,1,4,2,2,1
GLOVE-CNN,0.483107139,Correct,207.8115715,263.4889368,3.769666245,200,279.1221449,4.898642834,0,207.790342,263.3976515,82,4,2,1,4,2,2,1
GLOVE-LSTM,0.483107139,Correct,383.4381224,278.6969309,3.769666245,400,279.1221449,4.898642834,0,383.4297135,278.7089675,82,4,2,1,4,2,2,1
ROBERTA-LARGE,0.483107139,Incorrect,575.5546326,258.4828503,3.769666245,600,279.1221449,4.898642834,0,575.5361441,258.7020342,82,3,2,1,4,2,2,1
BERT-BASE,0.483533578,Correct,1024.143502,265.1603173,3.771228331,1000,278.8918679,4.901201468,0,1024.165158,265.2002366,46,4,2,1,4,2,2,1
BERT-LARGE,0.483533578,Correct,778.0076488,280.0663959,3.771228331,800,278.8918679,4.901201468,0,778.0194208,280.0656803,46,4,2,1,4,2,2,1
GLOVE-CNN,0.483533578,Incorrect,137.4987375,288.5687858,3.771228331,200,278.8918679,4.901201468,0,137.4999294,288.5645326,46,4,2,1,4,2,2,1
GLOVE-LSTM,0.483533578,Incorrect,470.0615121,283.5140417,3.771228331,400,278.8918679,4.901201468,0,469.8887365,283.4960666,46,4,2,1,4,2,2,1
ROBERTA-LARGE,0.483533578,Correct,544.7983375,292.7147792,3.771228331,600,278.8918679,4.901201468,0,544.8234806,292.7327933,46,4,2,1,4,2,2,1
BERT-BASE,0.487144508,Correct,1016.414052,303.9298214,3.784455502,1000,276.9419657,4.922867048,0,1016.453769,303.9381228,13,4,2,1,4,2,2,1
BERT-LARGE,0.487144508,Correct,829.9764395,307.3304944,3.784455502,800,276.9419657,4.922867048,0,829.9883001,307.3187975,13,4,2,1,4,2,2,1
GLOVE-CNN,0.487144508,Correct,287.8021238,278.9187581,3.784455502,200,276.9419657,4.922867048,0,287.829742,278.9113947,13,4,2,1,4,2,2,1
GLOVE-LSTM,0.487144508,Correct,483.6741318,271.3605861,3.784455502,400,276.9419657,4.922867048,0,483.6298399,271.3433778,13,4,2,1,4,2,2,1
ROBERTA-LARGE,0.487144508,Correct,563.7724225,283.842667,3.784455502,600,276.9419657,4.922867048,0,563.8187434,283.7881327,13,4,2,1,4,2,2,1
BERT-BASE,0.487537159,Correct,1053.795305,290.7160943,3.785893819,1000,276.7299341,4.925222954,0,1053.786563,290.719487,74,4,2,1,4,2,2,1
BERT-LARGE,0.487537159,Correct,795.950788,276.1165519,3.785893819,800,276.7299341,4.925222954,0,795.9378062,276.075159,74,4,2,1,4,2,2,1
GLOVE-CNN,0.487537159,Correct,132.062241,279.5462682,3.785893819,200,276.7299341,4.925222954,0,132.0522782,279.5622116,74,4,2,1,4,2,2,1
GLOVE-LSTM,0.487537159,Correct,480.4191138,281.4712699,3.785893819,400,276.7299341,4.925222954,0,480.28059,281.4649238,74,4,2,1,4,2,2,1
ROBERTA-LARGE,0.487537159,Correct,628.5125103,285.4837712,3.785893819,600,276.7299341,4.925222954,0,628.4433057,285.4498545,74,4,2,1,4,2,2,1
BERT-BASE,0.488083212,Correct,921.9098613,285.4274898,3.787894062,1000,276.4350655,4.928499272,0,921.9188406,285.4314636,86,4,2,1,4,2,2,1
BERT-LARGE,0.488083212,Correct,760.1268542,245.8484281,3.787894062,800,276.4350655,4.928499272,0,760.1344057,245.8556274,86,4,2,1,4,2,2,1
GLOVE-CNN,0.488083212,Correct,153.5590604,279.9860727,3.787894062,200,276.4350655,4.928499272,0,153.4917653,279.9652448,86,4,2,1,4,2,2,1
