Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
GLOVE-LSTM,0.389694985,Correct,406.4112035,337.5447686,3.427488864,400,329.5647081,4.33816991,0,406.3510014,337.5514838,30,1,1,1,3,2,1,1
ROBERTA-LARGE,0.389694985,Correct,622.3494162,337.0079393,3.427488864,600,329.5647081,4.33816991,0,622.34483,337.0416986,30,1,1,1,3,2,1,1
BERT-BASE,0.399033664,Correct,952.2088807,329.3854233,3.461697311,1000,324.5218214,4.394201984,0,952.1945347,329.4288656,56,1,1,1,3,2,1,1
BERT-LARGE,0.399033664,Correct,814.5809394,321.7445143,3.461697311,800,324.5218214,4.394201984,0,814.5764704,321.7559977,56,1,1,1,3,2,2,1
GLOVE-CNN,0.399033664,Correct,158.0301032,325.3589361,3.461697311,200,324.5218214,4.394201984,0,158.0427774,325.3882347,56,1,1,1,3,2,2,1
GLOVE-LSTM,0.399033664,Correct,379.3215218,338.0905843,3.461697311,400,324.5218214,4.394201984,0,379.2971847,338.0492722,56,1,1,1,3,2,2,1
ROBERTA-LARGE,0.399033664,Correct,640.8926577,329.8370637,3.461697311,600,324.5218214,4.394201984,0,640.8732377,329.8413701,56,1,1,1,3,2,2,1
BERT-BASE,0.40102738,Correct,999.8088099,337.9712866,3.469000477,1000,323.4452148,4.40616428,0,999.8171932,337.9745408,111,1,1,1,3,2,2,1
BERT-LARGE,0.40102738,Incorrect,771.7203367,334.0230212,3.469000477,800,323.4452148,4.40616428,0,771.7663151,333.9932529,111,1,1,1,3,2,2,1
GLOVE-CNN,0.40102738,Incorrect,217.9776414,328.9171089,3.469000477,200,323.4452148,4.40616428,0,217.9503518,328.9842111,111,1,1,1,3,2,2,1
GLOVE-LSTM,0.40102738,Correct,396.5213055,337.9038157,3.469000477,400,323.4452148,4.40616428,0,396.539428,337.9129734,111,1,1,1,3,2,2,1
ROBERTA-LARGE,0.40102738,Correct,555.1758552,323.3798535,3.469000477,600,323.4452148,4.40616428,0,555.1882602,323.3787313,111,1,1,1,3,2,2,1
BERT-BASE,0.40270235,Correct,1037.409556,322.7061891,3.475136048,1000,322.540731,4.4162141,0,1037.420322,322.7043597,41,1,1,1,3,2,2,1
BERT-LARGE,0.40270235,Correct,802.0003278,307.5306564,3.475136048,800,322.540731,4.4162141,0,801.9750641,307.5338418,41,1,1,1,3,2,2,1
GLOVE-CNN,0.40270235,Correct,209.4393242,310.2142976,3.475136048,200,322.540731,4.4162141,0,209.4211722,310.2058839,41,1,1,1,3,2,2,1
GLOVE-LSTM,0.40270235,Correct,408.1132944,327.7974436,3.475136048,400,322.540731,4.4162141,0,408.1304192,327.8058479,41,1,1,1,3,2,2,1
ROBERTA-LARGE,0.40270235,Correct,646.3582961,321.548692,3.475136048,600,322.540731,4.4162141,0,646.3885107,321.5901538,41,1,1,1,3,2,2,1
BERT-BASE,0.402960714,Correct,1047.276524,324.0018334,3.476082459,1000,322.4012144,4.417764284,0,1047.290873,323.9855585,24,1,1,1,3,2,2,1
BERT-LARGE,0.402960714,Correct,767.5769479,314.5540942,3.476082459,800,322.4012144,4.417764284,0,767.572048,314.5124572,24,1,1,1,3,2,2,1
