id,Label,Score,Status
8,BERT-LARGE,0.495102538,Correct
9,BERT-LARGE,0.4919791,Correct
10,BERT-LARGE,0.603594112,Correct
11,BERT-LARGE,0.481256986,Correct
12,BERT-LARGE,0.551371748,Correct
13,BERT-LARGE,0.487144508,Correct
14,BERT-LARGE,0.537611721,Correct
15,BERT-LARGE,0.514205457,Correct
16,BERT-LARGE,0.420908602,Correct
17,BERT-LARGE,0.405177684,Correct
18,BERT-LARGE,0.48990343,Correct
19,BERT-LARGE,0.418283686,Correct
20,BERT-LARGE,0.494959402,Correct
21,BERT-LARGE,0.49461647,Incorrect
22,BERT-LARGE,0.702394895,Incorrect
23,BERT-LARGE,0.488486995,Correct
24,BERT-LARGE,0.402960714,Correct
25,BERT-LARGE,0.576373407,Correct
26,BERT-LARGE,0.462120359,Correct
27,BERT-LARGE,0.491809236,Incorrect
28,BERT-LARGE,0.465216837,Correct
29,BERT-LARGE,0.497650208,Correct
30,BERT-LARGE,0.389694985,Correct
31,BERT-LARGE,0.644663102,Correct
32,BERT-LARGE,0.472388378,Correct
33,BERT-LARGE,0.494058401,Correct
34,BERT-LARGE,0.549963848,Correct
35,BERT-LARGE,0.473538574,Correct
36,BERT-LARGE,0.437609528,Correct
37,BERT-LARGE,0.453492231,Correct
38,BERT-LARGE,0.564766888,Correct
39,BERT-LARGE,0.404604068,Correct
40,BERT-LARGE,0.529065654,Correct
41,BERT-LARGE,0.40270235,Correct
42,BERT-LARGE,0.418505655,Correct
43,BERT-LARGE,0.497296037,Correct
44,BERT-LARGE,0.423266564,Correct
45,BERT-LARGE,0.500851033,Correct
46,BERT-LARGE,0.483533578,Correct
47,BERT-LARGE,0.489462884,Incorrect
48,BERT-LARGE,0.385194193,Correct
49,BERT-LARGE,0.511140042,Correct
50,BERT-LARGE,0.494541901,Correct
51,BERT-LARGE,0.5463803,Correct
52,BERT-LARGE,0.494736219,Correct
53,BERT-LARGE,0.406849718,Correct
54,BERT-LARGE,0.564215601,Correct
55,BERT-LARGE,0.550602199,Correct
56,BERT-LARGE,0.399033664,Correct
57,BERT-LARGE,0.516721956,Correct
58,BERT-LARGE,0.555584953,Correct
59,BERT-LARGE,0.455765247,Correct
60,BERT-LARGE,0.501853297,Correct
