Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
GLOVE-LSTM,0.67403322,Incorrect,399.6590953,271.9120049,4.469046183,400,271.6389833,6.04419932,399.6602016,271.911482,141,1,1,1,3,2,1,1
GLOVE-LSTM,0.67569906,Correct,411.4732606,270.1513332,4.475148309,400,270.2507833,6.05419436,411.4728541,270.1513426,120,1,1,1,3,2,1,1
GLOVE-LSTM,0.68624318,Incorrect,403.535079,260.5733678,4.513772399,400,261.4640167,6.11745908,403.5337989,260.5737111,26,1,1,1,3,2,1,1
BERT-BASE,0.68728703,Correct,1009.068364,260.5941611,4.517596118,1000,260.5941417,6.12372218,1009.073949,260.5941614,136,1,1,1,3,2,1,1
BERT-LARGE,0.68817252,Incorrect,797.8063768,259.8562296,4.52083975,800,259.8562333,6.12903512,797.805026,259.8562296,2,1,1,1,3,2,1,1
ROBERTA-LARGE,0.69341701,Incorrect,593.6615546,255.485829,4.540050803,600,255.485825,6.16050206,593.6576513,255.4858291,137,1,1,1,3,2,1,1
BERT-BASE,0.69519717,Incorrect,996.5762548,254.0806923,4.546571694,1000,254.0023583,6.17118302,996.5738668,254.0813009,23,1,1,1,3,2,1,1
GLOVE-LSTM,0.70350397,Correct,412.4666626,247.1494094,4.577000273,400,247.080025,6.22102382,412.4648367,247.14947,47,1,1,1,3,2,1,1
GLOVE-LSTM,0.70566761,Correct,400.3392583,246.2466745,4.584925887,400,245.2769917,6.23400566,400.3391527,246.2459847,32,1,1,1,3,2,1,1
BERT-BASE,0.70646399,Incorrect,988.7528252,244.8046658,4.587843101,1000,244.6133417,6.23878394,988.754623,244.803887,7,1,1,1,3,2,1,1
BERT-BASE,0.7085948,Correct,1012.130095,242.9955212,4.595648455,1000,242.8376667,6.2515688,1012.12884,242.9954815,4,1,1,1,3,2,1,1
BERT-BASE,0.71082491,Correct,1000.177905,240.5517283,4.603817555,1000,240.9792417,6.26494946,1000.178294,240.5519383,27,1,1,1,3,3,1,1
GLOVE-LSTM,0.71599776,Correct,392.64038,236.7742296,4.622766184,400,236.6685333,6.29598656,392.6410911,236.7750371,128,1,1,1,3,3,1,1
GLOVE-LSTM,0.71687675,Correct,380.3960575,237.1469233,4.625986006,400,235.9360417,6.3012605,380.3983792,237.1459292,66,1,1,1,3,3,1,1
GLOVE-LSTM,0.72222602,Correct,404.1675061,232.5785555,4.645580878,400,231.4783167,6.33335612,404.1659533,232.5781101,143,1,1,1,3,3,1,1
GLOVE-LSTM,0.72649956,Incorrect,386.1975292,226.3153335,4.661235251,400,227.9170333,6.35899736,386.2006143,226.3166601,137,1,1,1,3,3,1,1
GLOVE-LSTM,0.72685879,Correct,415.37684,227.4950854,4.662551144,400,227.617675,6.36115274,415.373452,227.4946974,62,1,1,1,3,3,1,1
GLOVE-LSTM,0.73230934,Correct,397.7752327,222.0371685,4.682517014,400,223.07555,6.39385604,397.7760411,222.0372816,67,1,1,1,3,3,1,1
GLOVE-LSTM,0.73891932,Correct,409.0373549,216.873989,4.706729984,400,217.5672333,6.43351592,409.0363139,216.8741981,112,1,1,1,3,3,2,1
BERT-LARGE,0.73896456,Correct,806.4495025,217.5295379,4.706895702,800,217.5295333,6.43378736,806.4534743,217.529538,66,1,1,1,3,3,2,1
ROBERTA-LARGE,0.73910248,Correct,600.2088287,217.4146015,4.707400916,600,217.4146,6.43461488,600.2089573,217.4146015,67,1,1,1,3,3,2,1
BERT-LARGE,0.74277461,Incorrect,793.929346,214.3544888,4.720852268,800,214.3544917,6.45664766,793.9256076,214.3544888,22,1,1,1,3,3,2,1
BERT-BASE,0.74977648,Incorrect,1013.199147,208.5424154,4.746500767,1000,208.5196,6.49865888,1013.197842,208.542417,140,1,1,1,3,3,2,1
BERT-BASE,0.75027496,Correct,1000.709167,208.2098403,4.748326746,1000,208.1042,6.50164976,1000.709621,208.2098554,127,1,1,1,3,3,2,1
BERT-BASE,0.75221103,Correct,988.3426615,206.3623543,4.75541875,1000,206.4908083,6.51326618,988.344898,206.3623376,70,1,1,1,3,3,2,1
GLOVE-CNN,0.75545114,Correct,196.224937,203.79072,4.767287573,200,203.7907167,6.53270684,196.2226123,203.79072,89,1,1,1,3,3,2,1
GLOVE-LSTM,0.75826162,Correct,392.2158243,201.9229756,4.777582622,400,201.44865,6.54956972,392.2173113,201.9214373,123,1,1,1,3,3,2,1
GLOVE-LSTM,0.76405871,Incorrect,412.8466531,196.6505604,4.7988179,400,196.6177417,6.58435226,412.8472534,196.6483738,63,1,1,1,3,3,2,1
BERT-LARGE,0.76661026,Correct,804.9662348,194.7250262,4.808164464,800,194.49145,6.59966156,804.9648448,194.7250787,70,1,1,1,3,3,2,1
BERT-BASE,0.76976514,Correct,1006.845897,191.8623828,4.819721082,1000,191.8623833,6.61859084,1006.850113,191.8623828,67,1,1,1,3,3,2,1
GLOVE-LSTM,0.77035081,Incorrect,400.8459447,192.7435575,4.821866446,400,191.374325,6.62210486,400.8474243,192.7444696,93,1,1,1,3,3,2,1
GLOVE-CNN,0.77044737,Correct,192.8359861,191.4457141,4.822220154,200,191.2938583,6.62268422,192.8313512,191.4452883,109,1,1,1,3,3,2,1
BERT-LARGE,0.77356511,Correct,793.9848032,188.4621677,4.833640725,800,188.6957417,6.64139066,793.9855473,188.4621152,5,1,1,1,3,3,2,1
ROBERTA-LARGE,0.77534157,Correct,599.9372952,187.2153636,4.840148063,600,187.2153583,6.65204942,599.9372566,187.2153636,136,1,1,1,3,3,2,1
GLOVE-LSTM,0.77749306,Correct,389.4564452,185.7987974,4.84802917,400,185.42245,6.66495836,389.458104,185.7988551,134,1,1,1,3,3,2,1
